model	thin	p.est.m	p.est.sd
full	100	1.0099990491296744	0.015220745814887707
full	1000	1.0031262857091683	0.0057164626850851954
no_fixed_effects	100	1.0047163119657343	0.0061605207570135335
no_fixed_effects	1000	1.001130960113676	0.002885502367874737
no_random_effects	100	1.012690610294144	0.013248879531215334
no_random_effects	1000	1.0032873557850754	0.0063032769134495365
