model	thin	p.est.m	p.est.sd
full	100	1.0125815315276374	0.028626556471884394
full	1000	1.003663060697805	0.008295039312666992
no_fixed_effects	100	1.00300733973242	0.004152848590906958
no_fixed_effects	1000	1.0022495761180614	0.003067609969136778
no_random_effects	100	1.0137354098287015	0.03322054447841288
no_random_effects	1000	1.0038619583033033	0.0066659822867594165
