model	thin	ess.m	ess.sd
full	100	779.614811187465	214.11262347074253
full	1000	1039.236293713744	51.80657120564738
no_fixed_effects	100	1058.6370916474343	134.13597167588523
no_fixed_effects	1000	1116.4332089142074	193.77354247682487
no_random_effects	100	865.2318251300915	269.31458149080345
no_random_effects	1000	971.5594270344593	23.281269361076543
