sample	treatment	replicate	day	description
HNPevo3-d21	HNPevo	B	21	C elegans + evo T thermo
HNPevo4-d21	HNPevo	C	21	C elegans + evo T thermo
HNPevo5-d21	HNPevo	D	21	C elegans + evo T thermo
HPanc2-d21	HPanc	A	21	T thermo
HPanc3-d21	HPanc	B	21	T thermo
HPanc4-d21	HPanc	C	21	T thermo
HPanc5-d21	HPanc	D	21	T thermo
HPevo2-d21	HPevo	A	21	evo T thermo
HPevo3-d21	HPevo	B	21	evo T thermo
HPevo4-d21	HPevo	C	21	evo T thermo
HPevo5-d21	HPevo	D	21	evo T thermo
H2-d29	H	A	29	no predator
H3-d29	H	B	29	no predator
H4-d29	H	C	29	no predator
H5-d29	H	D	29	no predator
HN2-d29	HN	A	29	C elegans
HN3-d29	HN	B	29	C elegans
HN4-d29	HN	C	29	C elegans
HN5-d29	HN	D	29	C elegans
HNPanc2-d29	HNPanc	A	29	C elegans + T thermo
HNPanc3-d29	HNPanc	B	29	C elegans + T thermo
HNPanc4-d29	HNPanc	C	29	C elegans + T thermo
HNPanc5-d29	HNPanc	D	29	C elegans + T thermo
HNPevo2-d29	HNPevo	A	29	C elegans + evo T thermo
HNPevo3-d29	HNPevo	B	29	C elegans + evo T thermo
HNPevo4-d29	HNPevo	C	29	C elegans + evo T thermo
HNPevo5-d29	HNPevo	D	29	C elegans + evo T thermo
HPanc2-d29	HPanc	A	29	T thermo
HPanc3-d29	HPanc	B	29	T thermo
HPanc4-d29	HPanc	C	29	T thermo
HPanc5-d29	HPanc	D	29	T thermo
HPevo2-d29	HPevo	A	29	evo T thermo
HPevo3-d29	HPevo	B	29	evo T thermo
HPevo4-d29	HPevo	C	29	evo T thermo
HPevo5-d29	HPevo	D	29	evo T thermo
H2-d45	H	A	45	no predator
H3-d45	H	B	45	no predator
H4-d45	H	C	45	no predator
H5-d45	H	D	45	no predator
HN2-d45	HN	A	45	C elegans
HN3-d45	HN	B	45	C elegans
HN4-d45	HN	C	45	C elegans
HN5-d45	HN	D	45	C elegans
HNPanc2-d45	HNPanc	A	45	C elegans + T thermo
HNPanc3-d45	HNPanc	B	45	C elegans + T thermo
HNPanc4-d45	HNPanc	C	45	C elegans + T thermo
HNPanc5-d45	HNPanc	D	45	C elegans + T thermo
HNPevo2-d45	HNPevo	A	45	C elegans + evo T thermo
HNPevo3-d45	HNPevo	B	45	C elegans + evo T thermo
HNPevo4-d45	HNPevo	C	45	C elegans + evo T thermo
HNPevo5-d45	HNPevo	D	45	C elegans + evo T thermo
HPanc2-d45	HPanc	A	45	T thermo
HPanc3-d45	HPanc	B	45	T thermo
HPanc4-d45	HPanc	C	45	T thermo
HPanc5-d45	HPanc	D	45	T thermo
HPevo2-d45	HPevo	A	45	evo T thermo
HPevo3-d45	HPevo	B	45	evo T thermo
HPevo4-d45	HPevo	C	45	evo T thermo
HPevo5-d45	HPevo	D	45	evo T thermo
H2-d61	H	A	61	no predator
H3-d61	H	B	61	no predator
H4-d61	H	C	61	no predator
H5-d61	H	D	61	no predator
HN2-d61	HN	A	61	C elegans
HN3-d61	HN	B	61	C elegans
HN4-d61	HN	C	61	C elegans
HN5-d61	HN	D	61	C elegans
HNPanc2-d61	HNPanc	A	61	C elegans + T thermo
HNPanc3-d61	HNPanc	B	61	C elegans + T thermo
HNPanc4-d61	HNPanc	C	61	C elegans + T thermo
HNPanc5-d61	HNPanc	D	61	C elegans + T thermo
HNPevo2-d61	HNPevo	A	61	C elegans + evo T thermo
HNPevo3-d61	HNPevo	B	61	C elegans + evo T thermo
HNPevo4-d61	HNPevo	C	61	C elegans + evo T thermo
HNPevo5-d61	HNPevo	D	61	C elegans + evo T thermo
HPanc2-d61	HPanc	A	61	T thermo
HPanc3-d61	HPanc	B	61	T thermo
HPanc4-d61	HPanc	C	61	T thermo
HPanc5-d61	HPanc	D	61	T thermo
HPevo2-d61	HPevo	A	61	evo T thermo
HPevo3-d61	HPevo	B	61	evo T thermo
HPevo4-d61	HPevo	C	61	evo T thermo
HPevo5-d61	HPevo	D	61	evo T thermo
