strainID	genus	species	H2-d13	H2-d17	H2-d21	H2-d29	H2-d45	H2-d5	H2-d61	H2-d9	H3-d13	H3-d17	H3-d21	H3-d29	H3-d45	H3-d5	H3-d61	H3-d9	H4-d13	H4-d17	H4-d21	H4-d29	H4-d45	H4-d5	H4-d61	H4-d9	H5-d13	H5-d17	H5-d21	H5-d29	H5-d45	H5-d5	H5-d61	H5-d9	HAMBI1	HAMBI2	HAMBI3	HAMBI4	HAMBI5	HN2-d13	HN2-d17	HN2-d21	HN2-d29	HN2-d45	HN2-d5	HN2-d61	HN2-d9	HN3-d13	HN3-d17	HN3-d21	HN3-d29	HN3-d45	HN3-d5	HN3-d61	HN3-d9	HN4-d13	HN4-d17	HN4-d21	HN4-d29	HN4-d45	HN4-d5	HN4-d61	HN4-d9	HN5-d13	HN5-d17	HN5-d21	HN5-d29	HN5-d45	HN5-d5	HN5-d61	HN5-d9	HNPanc2-d13	HNPanc2-d17	HNPanc2-d21	HNPanc2-d29	HNPanc2-d45	HNPanc2-d5	HNPanc2-d61	HNPanc2-d9	HNPanc3-d13	HNPanc3-d17	HNPanc3-d21	HNPanc3-d29	HNPanc3-d45	HNPanc3-d5	HNPanc3-d61	HNPanc3-d9	HNPanc4-d13	HNPanc4-d17	HNPanc4-d21	HNPanc4-d29	HNPanc4-d45	HNPanc4-d5	HNPanc4-d61	HNPanc4-d9	HNPanc5-d13	HNPanc5-d17	HNPanc5-d21	HNPanc5-d29	HNPanc5-d45	HNPanc5-d5	HNPanc5-d61	HNPanc5-d9	HNPevo2-d13	HNPevo2-d17	HNPevo2-d21	HNPevo2-d29	HNPevo2-d45	HNPevo2-d5	HNPevo2-d61	HNPevo2-d9	HNPevo3-d13	HNPevo3-d17	HNPevo3-d21	HNPevo3-d29	HNPevo3-d45	HNPevo3-d5	HNPevo3-d61	HNPevo3-d9	HNPevo4-d13	HNPevo4-d17	HNPevo4-d21	HNPevo4-d29	HNPevo4-d45	HNPevo4-d5	HNPevo4-d61	HNPevo4-d9	HNPevo5-d13	HNPevo5-d17	HNPevo5-d21	HNPevo5-d29	HNPevo5-d45	HNPevo5-d5	HNPevo5-d61	HNPevo5-d9	HPanc2-d13	HPanc2-d17	HPanc2-d21	HPanc2-d29	HPanc2-d45	HPanc2-d5	HPanc2-d61	HPanc2-d9	HPanc3-d13	HPanc3-d17	HPanc3-d21	HPanc3-d29	HPanc3-d45	HPanc3-d5	HPanc3-d61	HPanc3-d9	HPanc4-d13	HPanc4-d17	HPanc4-d21	HPanc4-d29	HPanc4-d45	HPanc4-d5	HPanc4-d61	HPanc4-d9	HPanc5-d13	HPanc5-d17	HPanc5-d21	HPanc5-d29	HPanc5-d45	HPanc5-d5	HPanc5-d61	HPanc5-d9	HPevo2-d13	HPevo2-d17	HPevo2-d21	HPevo2-d29	HPevo2-d45	HPevo2-d5	HPevo2-d61	HPevo2-d9	HPevo3-d13	HPevo3-d17	HPevo3-d21	HPevo3-d29	HPevo3-d45	HPevo3-d5	HPevo3-d61	HPevo3-d9	HPevo4-d13	HPevo4-d17	HPevo4-d21	HPevo4-d29	HPevo4-d45	HPevo4-d5	HPevo4-d61	HPevo4-d9	HPevo5-d13	HPevo5-d17	HPevo5-d21	HPevo5-d29	HPevo5-d45	HPevo5-d5	HPevo5-d61	HPevo5-d9	negCTRL	negCTRL2
HAMBI-1896	Sphingobacterium	spiritivorum	1	1	0	0	1	4	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	3	0	1	2037	2121	828	673	796	9	0	0	0	0	1895	0	2074	20	0	0	0	0	2327	0	1797	21	0	0	0	0	2190	0	1111	26	0	0	0	0	2805	0	647	80	0	0	1	0	1198	1	532	148	0	0	1	0	1339	0	249	185	0	5	1	0	3103	0	205	155	0	0	8	0	1675	0	417	147	0	0	0	0	1115	0	908	123	0	0	0	0	720	0	1266	62	0	0	0	0	239	0	1553	44	0	0	0	0	297	1	3227	6	0	0	0	0	1647	0	32	9	0	0	0	0	1595	0	20	3	0	0	0	0	2722	0	20	7	0	0	0	0	2022	0	37	0	0	0	3	0	32	0	5	1	0	0	3	0	46	0	19	3	0	0	4	0	78	0	14	2	0	0	6	0	63	0	13	1	0
HAMBI-1923	Myroides	odoratus	10	1	3368	1442	3241	702	4	54	0	5	2648	2264	2734	458	0	37	4	6	2273	4003	7	207	3	74	4	2	2411	4923	1911	180	28	117	2150	2220	951	936	903	719	2553	6129	1722	2283	271	2098	1612	789	3428	3156	1064	1049	239	5833	1393	1272	4609	3883	2834	2618	347	2873	1022	2046	1128	7135	475	3014	257	3379	576	3396	1138	2882	200	3236	3219	3348	2152	5981	2241	2509	1252	17438	3831	1165	784	8460	1899	5952	1003	7555	7631	2167	585	5110	4340	1102	1686	4022	5128	2164	1411	5888	4693	1417	1256	2900	1381	4718	1578	3009	5121	545	4003	3474	893	23	1766	1505	4197	714	2550	5562	304	3602	2355	1309	9211	623	1866	4740	324	4	4363	3662	3	4	1	2459	5845	955	1187	1111	13	6	10	492	7556	1752	973	2131	4	0	2	686	8907	4062	761	1793	3	2	5	598	6862	7325	2126	331	4203	803	2936	2237	1154	19	1124	151	12835	667	4582	961	915	8281	1973	397	4764	1387	2886	1176	947	6651	1590	344	6949	2219	2238	365	1221	1771	1727	3	2317
HAMBI-1972	Aeromonas	caviae	38942	3824	29	5	60	74188	8	26277	36704	4250	21	18	86	52194	10	40447	17214	5896	1178	67	3	42727	18	66857	10565	5127	117	62	6	20979	121	79823	2881	3167	1437	1288	1440	3655	35399	26301	4179	8052	13316	46539	31684	6644	23506	12008	2526	3610	16936	63392	35476	5188	36253	7718	5949	5775	13799	31431	20140	8814	10861	16082	1114	6676	20301	32097	12131	5702	539	203	693	20096	38	22607	562	8811	521	572	431	45771	23	14531	232	8489	315	2771	584	36620	41	27489	211	9269	3447	3249	7386	32936	102	40641	429	2387	34	17	84	2425	248	244	540	1797	33	1	35	504	122	719	650	1099	780	56	129	6872	66	1234	1068	565	44	6	20	6244	47	705	1520	64	6	16	255	1248	130	972	53	271	9	11	649	1051	75	254	34	254	11	4	430	13	86	9072	45	180	11	3	541	30	337	349	292	37	1412	65	596	24	4	108	12	36	3733	59	851	4	8	230	18	12	2946	301	736	2	3	20	38	26	7426	373	514	36	10	64	20	11	4933
HAMBI-1977	Pseudomonas	chlororaphis	56500	75074	7199	3628	7104	10757	98635	14197	40881	84079	6518	7066	6011	6745	74554	19136	21581	113270	4811	27406	4396	5121	89344	37805	10911	131617	4804	16226	4408	2673	133786	48559	1696	1807	749	705	789	1725	14201	10688	5467	8357	1701	24847	6429	2414	7325	5732	5760	3803	2243	21511	6087	2657	13895	11262	7005	7021	1750	10491	3554	4134	6002	17852	1480	7994	2626	11389	2107	20677	3493	9682	10870	7743	1483	6929	3697	34688	4774	15281	6552	19314	1873	7896	1517	37608	5072	23020	6667	13661	3731	9595	1370	32788	9764	15502	30767	10413	2313	12046	2764	17158	7671	5207	3667	16925	974	30004	2922	13680	15459	2670	26588	25183	696	49934	4771	6061	10332	2218	5980	32534	293	33946	4675	6770	24534	3583	6301	34585	263	31645	9883	17523	32859	148262	27967	6432	6099	8548	6270	81468	66867	81876	67259	31515	8773	7679	3825	6796	90673	64795	56580	5104	11723	38898	2150	4879	99828	33895	78495	3702	8362	35593	5159	2863	10486	2087	10175	3919	2184	27698	11256	3308	32834	2782	16286	2094	1831	75408	24873	3902	27263	3556	10010	2352	1884	20367	17843	4903	14441	4771	7774	13471	2223	21618	20572	52	7360
HAMBI-1988	Chitinophaga	sancti	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	825	928	405	401	395	0	0	0	0	0	5	1	1	0	0	0	0	0	5	0	1	0	0	0	0	0	11	0	7	0	0	0	0	0	4	0	0	0	0	0	0	0	21	1	3	2	0	0	0	0	28	0	0	2	0	0	0	0	42	0	1	2	0	0	0	0	38	0	3	0	0	0	0	0	18	0	2	0	0	0	0	0	5	0	1	0	0	0	0	0	3	0	3	0	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAMBI-2159	Paraburkholderia	caryophylli	1	0	0	0	0	58	0	4	1	0	0	0	0	55	0	2	0	0	0	0	0	40	0	3	0	0	0	0	0	24	0	4	2639	2364	1133	1038	1121	1	0	0	0	0	60	0	29	0	0	0	0	0	86	0	24	1	0	0	0	0	60	0	10	0	0	0	0	0	132	0	11	0	0	0	0	0	47	0	15	1	0	0	0	0	61	0	4	1	0	0	0	0	125	0	2	1	0	0	0	0	93	0	6	1	0	0	0	0	61	0	33	4	0	0	0	0	32	0	47	0	0	0	0	0	18	0	58	0	0	0	0	0	17	0	113	0	0	0	0	0	17	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAMBI-2160	Bordetella	avium	0	0	0	0	0	20	0	2	1	0	0	0	0	20	0	1	0	0	0	0	0	17	0	1	0	0	0	0	0	5	0	0	310	331	98	109	129	35	0	0	0	14	75	0	464	17	0	0	0	5	101	0	306	102	0	0	0	7	131	0	259	148	0	0	0	49	135	0	187	23	0	0	1	0	22	0	44	14	0	0	0	0	26	0	11	31	0	0	0	0	62	0	7	15	0	0	3	0	42	0	25	148	0	0	0	0	29	0	77	55	0	0	0	0	15	0	91	58	0	0	0	0	9	0	132	34	0	0	0	0	7	0	247	0	0	0	0	0	21	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	8	0	0	0	0	0	10	0	4	0	0	0	0	0	41	0	7	0	0	0	0	0	16	0	6	0	2	0	0	5	20	0	16	0	3	0	17
HAMBI-2164	Cupriavidus	necator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	35	16	22	30	0	0	0	0	0	1	0	4	0	0	0	0	0	5	0	4	0	0	0	0	0	3	0	2	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAMBI-2443	Paracoccus	denitrificans	0	0	0	0	0	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	1	0	0	454	381	126	182	243	0	0	0	0	0	25	0	8	3	0	0	0	0	9	0	3	0	0	0	0	0	19	0	3	0	0	0	0	2	17	0	2	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	2	3	0	0	0	0	1	0	3	0	0	0	0	0	1	0	4	3	0	0	0	0	9	0	17	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	13	0	0	0	0	0	2	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAMBI-2494	Paraburkholderia	kururiensis	0	0	0	0	0	30	0	0	0	0	0	0	0	21	0	1	0	0	1	0	0	13	0	3	0	0	0	0	0	10	0	1	352	352	137	144	130	0	0	0	0	0	11	0	9	0	0	0	0	0	9	0	7	0	0	0	0	0	8	0	1	0	0	0	0	0	21	0	1	0	0	0	1	0	6	0	2	3	0	0	0	0	2	0	3	3	0	0	0	0	18	0	5	1	0	0	0	0	5	0	1	0	0	0	0	0	4	0	14	3	0	0	0	0	0	0	10	0	0	0	0	0	1	0	17	1	0	0	0	0	1	0	33	0	0	0	0	0	11	0	0	0	0	0	0	0	13	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
