sample	strainID	genus	species	count
H2-d45	HAMBI-1923	Myroides	odoratus	3241
H2-d45	HAMBI-1972	Aeromonas	caviae	60
H2-d45	HAMBI-1977	Pseudomonas	chlororaphis	7104
H2-d45	HAMBI-1988	Chitinophaga	sancti	0
H2-d45	HAMBI-2159	Paraburkholderia	caryophylli	0
H2-d45	HAMBI-2160	Bordetella	avium	0
H2-d45	HAMBI-2164	Cupriavidus	necator	0
H2-d45	HAMBI-2443	Paracoccus	denitrificans	0
H2-d45	HAMBI-2494	Paraburkholderia	kururiensis	0
H2-d45	HAMBI-2659	Stenotrophomonas	maltophilia	14317
H2-d45	HAMBI-2792	Moraxella	canis	0
H2-d45	HAMBI-3031	Niabella	yanshanensis	0
H2-d45	HAMBI-3237	Microvirga	lotononidis	0
H2-d5	HAMBI-0006	Pseudomonas	putida	15722
H2-d5	HAMBI-0097	Acinetobacter	lwoffii	4884
H2-d5	HAMBI-0105	Agrobacterium	tumefaciens	15
H2-d5	HAMBI-0262	Brevundimonas	bullata	0
H2-d5	HAMBI-0403	Comamonas	testosteroni	3738
H2-d5	HAMBI-1279	Hafnia	alvei	5591
H2-d5	HAMBI-1287	Citrobacter	koseri	22909
H2-d5	HAMBI-1292	Morganella	morganii	24474
H2-d5	HAMBI-1299	Kluyvera	intermedia	9056
H2-d5	HAMBI-1842	Sphingobium	yanoikuyae	66
H2-d5	HAMBI-1896	Sphingobacterium	spiritivorum	4
H2-d5	HAMBI-1923	Myroides	odoratus	702
H2-d5	HAMBI-1972	Aeromonas	caviae	74188
H2-d5	HAMBI-1977	Pseudomonas	chlororaphis	10757
H2-d5	HAMBI-1988	Chitinophaga	sancti	2
H2-d5	HAMBI-2159	Paraburkholderia	caryophylli	58
H2-d5	HAMBI-2160	Bordetella	avium	20
H2-d5	HAMBI-2164	Cupriavidus	necator	0
H2-d5	HAMBI-2443	Paracoccus	denitrificans	7
H2-d5	HAMBI-2494	Paraburkholderia	kururiensis	30
H2-d5	HAMBI-2659	Stenotrophomonas	maltophilia	2414
H2-d5	HAMBI-2792	Moraxella	canis	36
H2-d5	HAMBI-3031	Niabella	yanshanensis	0
H2-d5	HAMBI-3237	Microvirga	lotononidis	30
H2-d61	HAMBI-0006	Pseudomonas	putida	0
H2-d61	HAMBI-0097	Acinetobacter	lwoffii	0
H2-d61	HAMBI-0105	Agrobacterium	tumefaciens	0
H2-d61	HAMBI-0262	Brevundimonas	bullata	0
H2-d61	HAMBI-0403	Comamonas	testosteroni	6
H2-d61	HAMBI-1279	Hafnia	alvei	0
H2-d61	HAMBI-1287	Citrobacter	koseri	0
H2-d61	HAMBI-1292	Morganella	morganii	20150
H2-d61	HAMBI-1299	Kluyvera	intermedia	0
H2-d61	HAMBI-1842	Sphingobium	yanoikuyae	0
H2-d61	HAMBI-1896	Sphingobacterium	spiritivorum	0
H2-d61	HAMBI-1923	Myroides	odoratus	4
H2-d61	HAMBI-1972	Aeromonas	caviae	8
H2-d61	HAMBI-1977	Pseudomonas	chlororaphis	98635
H2-d61	HAMBI-1988	Chitinophaga	sancti	0
H2-d61	HAMBI-2159	Paraburkholderia	caryophylli	0
H2-d61	HAMBI-2160	Bordetella	avium	0
H2-d61	HAMBI-2164	Cupriavidus	necator	0
H2-d61	HAMBI-2443	Paracoccus	denitrificans	0
H2-d61	HAMBI-2494	Paraburkholderia	kururiensis	0
H2-d61	HAMBI-2659	Stenotrophomonas	maltophilia	49
H2-d61	HAMBI-2792	Moraxella	canis	0
H2-d61	HAMBI-3031	Niabella	yanshanensis	0
H2-d61	HAMBI-3237	Microvirga	lotononidis	0
